"GEOID","totalE","ownerE","renterE"
"42091202602",989,626,363
"42091202603",1074,874,200
"42091202604",810,667,143
"42091203000",1253,971,282
"42091203103",1236,1158,78
"42091203104",1929,1489,440
"42091203105",2254,1943,311
"42091203106",1313,429,884
"42091203203",1719,1213,506
"42091203204",2808,2236,572
"42091203205",762,679,83
"42091203207",1162,1042,120
"42091203208",1226,1099,127
"42091203302",2492,2240,252
"42091203303",1912,1258,654
"42091203304",1764,922,842
"42091203401",3083,2010,1073
"42091203402",3253,2058,1195
"42091203403",1785,1336,449
"42091203500",2888,1214,1674
"42091203601",992,357,635
"42091203602",1444,999,445
"42091203701",416,230,186
"42091203801",1187,819,368
"42091203803",2188,652,1536
"42091203804",965,289,676
"42091203901",1075,323,752
"42091203902",1763,138,1625
"42091204002",1343,887,456
"42091204007",1037,474,563
"42091204008",1414,849,565
"42091204009",1015,622,393
"42091204010",1058,1040,18
"42091204101",1999,1363,636
"42091204103",1156,290,866
"42091204104",1178,653,525
"42091204200",702,537,165
"42091204300",1571,1025,546
"42091204400",1142,774,368
"42091204500",1462,1338,124
"42091204600",1649,1590,59
"42091204701",1141,823,318
"42091204702",1232,1070,162
"42091204800",1901,1631,270
"42091204900",1833,1636,197
"42091205000",797,500,297
"42091205100",688,315,373
"42091205200",1243,954,289
"42091205300",975,475,500
"42091205401",847,402,445
"42091205402",2115,1177,938
"42091205501",2076,1193,883
"42091205502",1445,1407,38
"42091205503",1990,1677,313
"42091205600",1952,1092,860
"42091205700",2000,966,1034
"42091205805",1265,888,377
"42091205806",814,473,341
"42091205807",1204,441,763
"42091205808",2077,1575,502
"42091205809",975,924,51
"42091205810",2138,793,1345
"42091205811",1542,123,1419
"42091205903",1026,901,125
"42091205904",1034,922,112
"42091205905",1722,736,986
"42091205906",919,654,265
"42091206004",1551,985,566
"42091206005",1627,1493,134
"42091206006",1652,901,751
"42091206007",2491,1827,664
"42091206104",1526,1145,381
"42091206105",1897,1857,40
"42091206106",1699,1470,229
"42091206107",2803,2248,555
"42091206108",889,792,97
"42091206201",1063,542,521
"42091206202",1048,356,692
"42091206300",1533,1124,409
"42091206400",1591,1190,401
"42091206501",1366,1296,70
"42091206502",1737,1448,289
"42091206600",620,405,215
"42091206703",1588,1446,142
"42091206704",2573,2501,72
"42091206801",2786,2363,423
"42091206802",1076,946,130
"42091206901",1900,1074,826
"42091206904",2675,1426,1249
"42091206905",1668,1494,174
"42091206906",1305,985,320
"42091207001",3114,2661,453
"42091207003",1319,831,488
"42091207004",1667,1277,390
"42091207101",2121,1688,433
"42091207103",1790,1648,142
"42091207104",1209,981,228
"42091207201",976,601,375
"42091207202",1778,992,786
"42091207300",919,638,281
"42091207400",1095,1026,69
"42091207500",1163,1096,67
"42091207600",1424,1161,263
"42091207800",3166,2943,223
"42091207900",1121,764,357
"42091208000",1354,950,404
"42091208100",1135,647,488
"42091208201",754,676,78
"42091208203",1964,1531,433
"42091208204",1090,979,111
"42091208301",1064,1037,27
"42091208303",1733,1718,15
"42091208304",1869,1852,17
"42091208400",1453,1112,341
"42091208500",1917,1561,356
"42091208601",2862,2633,229
"42091208603",2390,2059,331
"42091208604",2493,1789,704
"42091208702",1150,1128,22
"42091208703",1519,1196,323
"42091208704",1615,1005,610
"42091208801",632,250,382
"42091208802",1415,610,805
"42091208901",1642,929,713
"42091208903",1181,749,432
"42091208904",1408,382,1026
"42091208905",1120,834,286
"42091208906",1682,865,817
"42091209000",663,285,378
"42091209100",2132,1848,284
"42091209201",688,443,245
"42091209202",874,585,289
"42091210100",1627,1385,242
"42091210200",1108,1057,51
"42091210300",1782,1143,639
"42091210400",1866,1531,335
"42091210500",1551,1288,263
"42091210600",1706,1303,403
"42091210700",2010,1896,114
"42101000101",1413,444,969
"42101000102",1960,708,1252
"42101000200",1686,874,812
"42101000300",2347,413,1934
"42101000401",1957,640,1317
"42101000403",716,433,283
"42101000404",2292,1022,1270
"42101000500",1269,118,1151
"42101000600",1028,9,1019
"42101000701",1367,344,1023
"42101000702",1493,258,1235
"42101000801",1001,324,677
"42101000803",2019,779,1240
"42101000805",1892,470,1422
"42101000806",1655,399,1256
"42101000901",1639,157,1482
"42101000902",1365,246,1119
"42101001001",1641,994,647
"42101001002",2211,1556,655
"42101001101",2525,575,1950
"42101001102",1521,777,744
"42101001201",2126,919,1207
"42101001203",1213,307,906
"42101001204",1919,525,1394
"42101001301",812,547,265
"42101001302",1994,1007,987
"42101001400",2065,1043,1022
"42101001500",1507,893,614
"42101001600",1232,643,589
"42101001700",1427,889,538
"42101001800",1727,949,778
"42101001900",1744,914,830
